,Age,Temperature,Flow_Rate,Pipe_type
59,22.0,112.19999999999983,7445.0,1
60,22.0,102.99999999999983,7520.0,1
61,22.0,102.79999999999983,6866.0,1
62,22.0,105.59999999999982,7034.0,1
63,23.0,106.39999999999982,7045.0,1
64,23.0,106.19999999999982,7407.0,1
65,23.0,103.99999999999982,7249.0,1
66,23.0,110.79999999999981,7232.0,1
67,23.0,107.59999999999981,7322.0,1
68,24.0,106.3999999999998,6989.0,1
69,24.0,104.1999999999998,7027.0,1
70,24.0,103.9999999999998,6991.0,1
71,24.0,107.7999999999998,6584.0,1
72,24.0,108.5999999999998,6849.0,1
73,25.0,104.39999999999979,6901.0,1
74,25.0,102.19999999999979,6946.0,1
75,25.0,107.99999999999979,6870.0,1
76,25.0,101.79999999999978,6614.0,1
77,25.0,105.59999999999978,6931.0,1
78,26.0,99.39999999999978,6904.0,1
79,26.0,102.19999999999978,6923.0,1
80,26.0,99.99999999999977,6947.0,1
81,26.0,100.79999999999977,6304.0,1
82,26.0,105.59999999999977,6735.0,1
83,27.0,105.39999999999976,6424.0,1
84,27.0,105.19999999999976,6147.0,1
85,27.0,106.99999999999976,6422.0,1
86,27.0,104.79999999999976,6768.0,1
87,27.0,97.59999999999975,6595.0,1
88,28.0,99.39999999999975,6488.0,1
89,28.0,99.19999999999975,6596.0,1
90,28.0,103.99999999999974,6597.0,1
91,28.0,101.79999999999974,6125.0,1
92,28.0,103.59999999999974,6214.0,1
93,29.0,97.39999999999974,6388.0,1
94,29.0,96.19999999999973,6105.0,1
95,29.0,104.99999999999973,5899.0,1
96,29.0,95.79999999999973,6020.0,1
97,29.0,99.59999999999972,6311.0,1
98,30.0,103.39999999999972,6350.0,1
99,30.0,97.19999999999972,5727.0,1
100,30.0,94.99999999999972,6086.0,1
101,30.0,101.79999999999971,6107.0,1
102,31.0,98.59999999999971,5687.0,1
103,31.0,94.39999999999971,5993.0,1
104,31.0,101.1999999999997,6000.0,1
105,31.0,99.9999999999997,5890.0,1
106,31.0,98.7999999999997,5868.0,1
107,32.0,96.5999999999997,5875.0,1
108,32.0,99.3999999999997,5982.0,1
109,32.0,96.19999999999969,5636.0,1
110,32.0,95.99999999999969,5873.0,1
111,32.0,98.79999999999968,5878.0,1
112,33.0,98.59999999999968,5329.0,1
113,33.0,97.39999999999968,5471.0,1
114,33.0,94.19999999999968,5634.0,1
115,33.0,92.99999999999967,5578.0,1
116,33.0,95.79999999999967,5821.0,1
117,34.0,100.59999999999967,5583.0,1
118,34.0,99.39999999999966,5228.0,1
119,34.0,97.19999999999966,5777.0,1
120,34.0,99.99999999999966,5737.0,1
121,34.0,93.79999999999966,5257.0,1
122,35.0,92.59999999999965,5635.0,1
123,35.0,93.39999999999965,5289.0,1
124,35.0,96.19999999999965,4987.0,1
125,35.0,98.99999999999964,5502.0,1
126,35.0,95.79999999999964,5412.0,1
127,36.0,91.59999999999964,5368.0,1
128,36.0,93.39999999999964,5391.0,1
129,36.0,91.19999999999963,5442.0,1
130,36.0,97.99999999999963,5021.0,1
131,36.0,92.79999999999963,5132.0,1
132,37.0,97.59999999999962,4941.0,1
133,37.0,97.39999999999962,5016.0,1
134,37.0,88.19999999999962,5239.0,1
135,37.0,91.99999999999962,4881.0,1
136,37.0,96.79999999999961,5175.0,1
137,38.0,95.59999999999961,4667.0,1
138,38.0,90.39999999999961,4923.0,1
139,38.0,90.1999999999996,4653.0,1
140,38.0,93.9999999999996,5149.0,1
141,38.0,92.7999999999996,4764.0,1
142,39.0,95.5999999999996,4808.0,1
143,39.0,87.3999999999996,4419.0,1
144,39.0,86.19999999999959,4691.0,1
145,39.0,92.99999999999959,4554.0,1
146,39.0,88.79999999999959,4464.0,1
147,40.0,94.59999999999958,4765.0,1
148,40.0,91.39999999999958,4681.0,1
149,40.0,86.19999999999958,4839.0,1
150,40.0,84.99999999999957,4601.0,1
151,40.0,91.79999999999957,4214.0,1
152,41.0,84.59999999999957,4342.0,1
153,41.0,87.39999999999957,4219.0,1
154,41.0,89.19999999999956,4101.0,1
155,41.0,89.99999999999956,4540.0,1
156,41.0,91.79999999999956,4003.0,1
157,42.0,89.59999999999955,4478.0,1
158,42.0,83.39999999999955,4086.0,1
159,42.0,84.19999999999955,4010.0,1
160,42.0,89.99999999999955,3990.0,1
161,42.0,87.79999999999954,4133.0,1
162,43.0,89.59999999999954,3846.0,1
163,43.0,82.39999999999954,4408.0,1
164,43.0,88.19999999999953,4293.0,1
165,43.0,89.99999999999953,3996.0,1
166,43.0,82.79999999999953,3949.0,1
167,44.0,84.59999999999953,4279.0,1
168,44.0,88.39999999999952,4071.0,1
169,44.0,90.19999999999952,3919.0,1
170,44.0,87.99999999999952,4145.0,1
171,44.0,81.79999999999951,4036.0,1
172,45.0,81.59999999999951,3660.0,1
173,45.0,87.39999999999951,3706.0,1
174,45.0,81.1999999999995,3451.0,1
175,45.0,88.9999999999995,3713.0,1
176,45.0,79.7999999999995,3440.0,1
177,46.0,88.5999999999995,3885.0,1
178,46.0,79.3999999999995,3621.0,1
179,46.0,86.19999999999949,3404.0,1
180,46.0,82.99999999999949,3844.0,1
181,46.0,81.79999999999949,3224.0,1
182,47.0,84.59999999999948,3450.0,1
183,47.0,78.39999999999948,3176.0,1
184,47.0,87.19999999999948,3637.0,1
185,47.0,78.99999999999947,3278.0,1
186,47.0,79.79999999999947,3638.0,1
187,48.0,83.59999999999947,3549.0,1
188,48.0,85.39999999999947,3699.0,1
189,48.0,77.19999999999946,3592.0,1
190,48.0,84.99999999999946,3593.0,1
191,48.0,78.79999999999946,3542.0,1
192,49.0,79.59999999999945,3540.0,1
193,49.0,77.39999999999945,2860.0,1
194,49.0,82.19999999999945,3431.0,1
195,49.0,83.99999999999945,3496.0,1
196,49.0,82.79999999999944,3235.0,1
197,50.0,84.59999999999944,2744.0,1
198,50.0,77.39999999999944,3138.0,1
199,50.0,83.19999999999943,2744.0,1
